episode,timestamp,circuit,mode,success,wall_crash,timeout,checkpoints_passed,lap_time_s,episode_reward
36,2026-07-09 10:51:47,default,test,0,0,1,0,,-5.0154
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0029
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0029
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0029
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0029
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0029
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0172
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0173
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0269
36,2026-07-09 10:53:05,default,train,0,0,1,0,,-5.0271
37,2026-07-09 10:53:30,default,test,0,0,1,0,,-5.0154
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0159
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0171
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0172
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0160
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0270
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0230
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0129
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0028
37,2026-07-09 10:54:45,default,train,0,0,1,0,,-5.0028
38,2026-07-09 10:55:10,default,test,0,0,1,0,,-5.0152
1,2026-07-09 11:01:11,default,test,0,1,0,3,,12.7861
2,2026-07-09 11:01:21,default,test,0,1,0,3,,13.1495
3,2026-07-09 11:01:43,default,test,0,1,0,6,,26.7039
4,2026-07-09 11:01:52,default,test,0,1,0,3,,12.9617
1,2026-07-09 11:22:47,default,test,0,1,0,7,,32.7166
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
1,2026-07-09 11:24:07,default,test,0,0,1,0,,-5.0150
2,2026-07-09 11:24:27,default,test,0,0,1,0,,-5.0152
1,2026-07-09 11:29:13,default,test,0,1,0,3,,13.0612
1,2026-07-09 11:40:49,default,test,0,1,0,9,,38.0822
2,2026-07-09 11:40:55,default,test,0,1,0,2,,8.1853
1,2026-07-09 11:41:55,default,train,0,1,0,2,,7.8105
2,2026-07-09 11:41:58,default,train,0,1,0,0,,0.0621
3,2026-07-09 11:42:00,default,train,0,1,0,0,,0.0371
4,2026-07-09 11:42:11,default,train,0,1,0,2,,9.3936
5,2026-07-09 11:42:17,default,train,0,1,0,1,,4.4241
1,2026-07-09 11:44:59,default,train,0,1,0,0,,0.0674
